epoch,train_loss,val_loss,val_acc
1,1.1895123186210792,0.6264779816071192,0.8756613756613757
2,0.5275932103395462,0.2978968918323517,0.9126984126984127
3,0.36848178319633007,0.2430196007092794,0.9074074074074074
4,0.31608247105032206,0.20679652070005736,0.9338624338624338
5,0.26997534434000653,0.16716061594585577,0.9365079365079365
6,0.22607789980247617,0.16276597573111454,0.9417989417989417
7,0.2127178075412909,0.13777447988589606,0.9444444444444444
8,0.20200721050302187,0.13145047860840955,0.9444444444444444
9,0.1722696824775388,0.12907002431650957,0.9444444444444444
10,0.17509341208885112,0.1104084700345993,0.9576719576719577
11,0.1534905938897282,0.1090529238184293,0.9497354497354498
12,0.14597962967430553,0.09829772387941678,0.9629629629629629
13,0.1440115503501147,0.0944825354963541,0.9603174603174603
14,0.12149851466529071,0.08402923727408051,0.9656084656084656
15,0.11417224752949551,0.07706444586316745,0.9629629629629629
16,0.10212705150479451,0.07121490562955539,0.9656084656084656
17,0.1173777513904497,0.07088880706578493,0.9656084656084656
18,0.11916983599076048,0.07705201185308397,0.9629629629629629
19,0.08688340555333222,0.07266831661884983,0.9656084656084656
20,0.08703164201385032,0.06773929460905492,0.9682539682539683
21,0.07781467532428603,0.07016787538304925,0.9682539682539683
22,0.08871303336733642,0.06303009522768359,0.9708994708994709
23,0.08591033685176323,0.06487965820512424,0.9682539682539683
24,0.06229227431564747,0.053785407838101186,0.9761904761904762
25,0.07310696167405695,0.05962459126021713,0.9735449735449735
26,0.06297947662339236,0.05193387942078213,0.9788359788359788
27,0.06119908014079556,0.05935855663847178,0.9708994708994709
28,0.06350820036216949,0.05354573612567037,0.9761904761904762
29,0.07821749127469957,0.05823816622917851,0.9708994708994709
30,0.05641957225937707,0.062458536316019796,0.9708994708994709
31,0.05279069405029683,0.05314727110089734,0.9761904761904762
32,0.04277692930190824,0.061969464557478204,0.9788359788359788
33,0.050747759470444485,0.06632836096105166,0.9761904761904762
34,0.044045888474405125,0.060595847287913784,0.9761904761904762
35,0.04920291645491185,0.06922538812311056,0.9735449735449735
36,0.05102528900412532,0.05416946155795207,0.9761904761904762
