class,f1_mean,f1_std
0,0.014598700386371618,0.014389995979018862
1,0.05097160723412114,0.029618802265188718
2,0.04325317954934395,0.02362842062633428
3,0.09323749291464964,0.05845952616897117
4,0.037410973582644905,0.015317133075119505
5,0.025109913721860434,0.032265899797247
6,0.03231067961165048,0.03957538793243634
7,0.00625,0.0125
8,0.2046911501879909,0.12504002015162785
9,0.013286625512055412,0.022881572970572767
10,0.0,0.0
11,0.0,0.0
12,0.018741984167411775,0.01332171071066901
13,0.0,0.0
14,0.013090909090909092,0.026181818181818185
15,0.011235955056179775,0.02247191011235955
16,0.021080034872370652,0.015127154257904918
17,0.031055565334741537,0.028011665826353987
18,0.021818181818181816,0.04363636363636363
19,0.03437807594674403,0.050717876524683576
20,0.010050251256281407,0.020100502512562814
21,0.0,0.0
22,0.050648693578114266,0.04897075836427832
23,0.004301075268817204,0.008602150537634409
24,0.017936649352541367,0.02218051754325226
25,0.04893780586128663,0.07169105676368903
26,0.0,0.0
