epoch,train_loss,val_loss,val_acc
1,2.764840828854105,2.497109840656149,0.1517467248908297
2,2.241940883449886,1.9872874699789902,0.31004366812227074
3,1.9315258990163389,1.7656034806679035,0.4143013100436681
4,1.6816540142764216,1.5216591296524837,0.4819868995633188
5,1.4753855186959972,1.3527997506075893,0.509825327510917
6,1.3272473355998164,1.1803384402702595,0.5802401746724891
7,1.210607184275337,1.060878880065063,0.6293668122270742
8,1.1458832455718,1.066022213163047,0.6364628820960698
9,1.0597669575525366,1.0882560425791248,0.6293668122270742
10,1.1516479335401368,0.8147446744400879,0.7139737991266376
11,0.9482983256325773,0.8363600075244904,0.7139737991266376
12,0.9112690599068352,0.8376326781922373,0.7199781659388647
13,0.8860058750795281,0.7521220414802946,0.7352620087336245
14,0.847864900837126,0.8429634977003624,0.7096069868995634
15,0.7760843591845554,0.7156720449184549,0.7429039301310044
16,0.7499344391343387,0.703168546845173,0.7691048034934498
17,0.6992599979690883,0.7062779623886635,0.7603711790393013
18,0.6687249930656475,0.5781416045180683,0.8002183406113537
19,0.6645222980691039,0.6364164501428604,0.7936681222707423
20,0.6238026582676431,0.4922683249259817,0.8335152838427947
21,0.6206796059141988,0.4564337632779417,0.8487991266375546
22,0.6061143243847333,0.6702037520449737,0.7849344978165939
23,0.5916579300942628,0.5722955747925002,0.8084061135371179
24,0.5688600551175035,0.5269868214582575,0.8296943231441049
25,0.542393345159033,0.5004314083991379,0.8275109170305677
26,0.5323967245609864,0.4888549290340522,0.8444323144104804
27,0.5224658938853637,0.5152961221234552,0.834061135371179
28,0.5480792747243591,0.4604490599755583,0.8400655021834061
29,0.4855942731318266,0.476799246566049,0.8444323144104804
30,0.4944427510480518,0.4996765726085367,0.8384279475982532
31,0.5170159307510956,0.43140798909910794,0.8602620087336245
32,0.530993656684523,0.4243103789872137,0.8526200873362445
33,0.49292919635772703,0.35494847390158424,0.8799126637554585
34,0.4667090133480404,0.4205787644304078,0.8662663755458515
35,0.4892750660362451,0.40254106757969693,0.8700873362445415
36,0.45919779707556185,0.36367345434324494,0.88264192139738
37,0.4530829732265809,0.39848513156175613,0.87117903930131
38,0.444728598387345,0.4570182194483691,0.8580786026200873
39,0.42875785134408784,0.39301181456138345,0.8733624454148472
40,0.4478051175930254,0.4057656895240833,0.8679039301310044
41,0.40787374976675694,0.3198441349226853,0.8935589519650655
42,0.4070718158684347,0.37725380191515234,0.8755458515283843
43,0.42018306718572324,0.35762991550667533,0.8881004366812227
44,0.41954888183137645,0.34250797511174763,0.8842794759825328
45,0.38409420735222977,0.4108184116153881,0.8760917030567685
46,0.39543012388698434,0.32100195559705125,0.898471615720524
47,0.36694999564763,0.3613657485051402,0.888646288209607
48,0.4017102506497632,0.337274010196842,0.8951965065502183
49,0.3797410329277425,0.29756673001523676,0.9028384279475983
50,0.3898915018724359,0.4830610906255656,0.855349344978166
51,0.4444307772685652,0.32984300150439655,0.8881004366812227
52,0.3829331286271791,0.3463910274721425,0.8831877729257642
53,0.3473881523732258,0.38033302911910516,0.8739082969432315
54,0.3540352553117096,0.30972527552010687,0.9006550218340611
55,0.35296666756596257,0.3778152867894748,0.8815502183406113
56,0.34832896098251576,0.355589412538142,0.8902838427947598
57,0.34683509719477074,0.3450341874669338,0.8897379912663755
58,0.34251244680389115,0.34217322026861124,0.8973799126637555
59,0.33990437669887363,0.2618240676177987,0.915938864628821
60,0.3533718423998874,0.25955305710948745,0.915938864628821
61,0.33857463846064134,0.3048713654279709,0.9066593886462883
62,0.3328884068393128,0.291724666567712,0.8990174672489083
63,0.33573223973583916,0.3634560041386506,0.8859170305676856
64,0.33113006454305316,0.3316919395122035,0.9028384279475983
65,0.33938520992903604,0.362280941343513,0.8968340611353712
66,0.3353065414597159,0.2698788492587106,0.9110262008733624
67,0.32717170971243276,0.30656020786484767,0.9055676855895196
68,0.3423197000267227,0.2642660115299554,0.9115720524017468
69,0.3245554874772611,0.2909963138658425,0.9126637554585153
70,0.30339105726341825,0.28614045971811847,0.9115720524017468
