class,f1_mean,f1_std
0,0.3754494654955497,0.13040168171512564
1,0.48752400689251346,0.06871866851271174
2,0.7375519634490997,0.025277138770884947
3,0.846751162326105,0.21017798330023016
4,0.8356887756993988,0.08157076150475082
5,0.8875668839469913,0.03782750900395264
6,0.34507449617394603,0.06042368853360521
7,0.9929868868382711,0.010909967910867402
8,0.9415981194814048,0.04851958577078925
9,0.4857971704166621,0.06325973134373884
10,0.9230202816351571,0.044421971363357744
11,0.5616963326300569,0.013237954481695393
12,0.20763078184360645,0.1037409319538089
13,0.8565150355151336,0.053352142853516
14,0.7566909972467726,0.12811735804356825
15,0.7477970728107293,0.08185361616323322
16,0.8254154386889055,0.05962278322278193
17,0.4883666285062917,0.09300367031933553
18,0.7095823686243209,0.11826176241110475
19,0.555234860638198,0.07888601372968765
20,0.35779108064322757,0.09386824120734301
21,0.4118610177662395,0.09049194960251718
22,0.31829063746710806,0.07552772104321198
23,0.8538940632685021,0.039266475579747606
24,0.31508486723653073,0.06571528922389831
25,0.8332288986878396,0.028811555502980736
26,0.9219084933415834,0.0673563737831991
