class,f1_mean,f1_std
0,0.44118458211186884,0.06377733672651008
1,0.6686375844385894,0.13732624121115736
2,0.8523605167026416,0.03717070082204831
3,0.9736260559845465,0.012570282594290499
4,0.825694528114934,0.09979235940398984
5,0.9023468939225714,0.035807529331435786
6,0.21193550711694079,0.07996406801123619
7,0.9916075764934436,0.010358130567757457
8,0.9605263157894737,0.07894736842105261
9,0.4336775782629857,0.05686405652532453
10,0.9604382292033316,0.04206707814849601
11,0.5373264424401656,0.12223173537762494
12,0.32722872801834124,0.05173581365842252
13,0.8165078046644003,0.0724942265578007
14,0.8668933435837938,0.06366803106446466
15,0.8573833194537395,0.04247276138538814
16,0.789313119328569,0.04137238110239133
17,0.5353563133397505,0.04088691786002742
18,0.8493748145579254,0.04510693267848934
19,0.5249547117715723,0.17058257527578036
20,0.5608030320232733,0.15453425916333524
21,0.5011624479759134,0.11556699421770009
22,0.2688521821894223,0.0866631361971975
23,0.860253180642364,0.044838699805527876
24,0.32580974603122737,0.040633653376865
25,0.8058409079552981,0.04904187865018154
26,0.9264383665521001,0.02133177116003981
