seed,weighted_accuracy,macro_f1,n_samples
0,0.2722222222222222,0.27049430944338304,360
1,0.25555555555555554,0.2552635253656951,360
2,0.26944444444444443,0.2644527249811367,360
3,0.28888888888888886,0.29182147007351444,360
4,0.29444444444444445,0.30081941538490425,360
