seed,weighted_accuracy,macro_f1,n_samples
0,0.9416666666666667,0.9420689655172414,360
1,0.9472222222222222,0.9477171294853883,360
2,0.9388888888888889,0.9391685736079328,360
3,0.9277777777777778,0.9284568437303999,360
4,0.9527777777777777,0.953103448275862,360
