class,f1_mean,f1_std,n_seeds
0,0.17436336625903498,0.07579903146102426,5
1,0.28510533371723606,0.05104637603411774,5
2,0.14736104004396688,0.09470202168879849,5
3,0.11496829456398364,0.06881244632972001,5
4,0.014545454545454545,0.03252462512726967,5
5,0.09952608492401402,0.12257040049743541,5
6,0.12776488549791537,0.09371403100342748,5
7,0.021061680636148723,0.03685527807474922,5
8,0.29013264425339846,0.06764273977811382,5
9,0.037479541734860886,0.06449358978844041,5
10,0.00492173389524383,0.006772108439777324,5
11,0.029196040560115887,0.03342794930092197,5
12,0.011320754716981133,0.025313977103771205,5
13,0.07681691052400433,0.10772624821481093,5
14,0.0919065071155474,0.07189027061779292,5
15,0.0,0.0,5
16,0.16831593413416562,0.1360448806091201,5
17,0.020971791463594742,0.03189938569521107,5
18,0.0,0.0,5
19,0.05205882352941177,0.10300208282235823,5
20,0.0794748615693677,0.0641742893427391,5
21,0.0,0.0,5
22,0.020883534136546183,0.04669700193975464,5
23,0.0,0.0,5
24,0.04214825259518616,0.04526282302827588,5
25,0.03643935972703096,0.045867237671424095,5
26,0.04716096412875674,0.06851178177509218,5
