epoch,train_loss,val_loss,val_acc
1,1.5217213957206062,0.8328427322979631,0.6948689956331878
2,0.8398194197727287,0.5144364240354505,0.8171397379912664
3,0.6341660005242928,0.4739036290296193,0.8389737991266376
4,0.49763489802894384,0.5367473202018902,0.8302401746724891
5,0.39978337096779243,0.28992667974069203,0.9044759825327511
6,0.331082974617248,0.20216824510536188,0.9350436681222707
7,0.29545431107930514,0.1696004266569648,0.9481441048034934
8,0.25497977919876574,0.15195277352528325,0.9536026200873362
9,0.21398624319826132,0.180123766563062,0.9355895196506551
10,0.19087329670260458,0.10851434769173121,0.9672489082969432
11,0.15308376227141074,0.13600219126814847,0.9596069868995634
12,0.16419143713605794,0.16406103724549556,0.9525109170305677
13,0.14459228054924017,0.09381681636923217,0.9705240174672489
14,0.15043114564664986,0.11024180265015056,0.9639737991266376
15,0.11551548329424922,0.10304582268069899,0.9650655021834061
16,0.1243027163386021,0.08373865279156298,0.9716157205240175
17,0.11233981895240266,0.11328495850842767,0.9694323144104804
18,0.12067508464172969,0.1615858847708923,0.949235807860262
19,0.12764591512918147,0.12891320669304746,0.9612445414847162
20,0.07506710928257393,0.07324071569922219,0.9754366812227074
21,0.10363593051493492,0.0839936010256522,0.9792576419213974
22,0.11195843211051239,0.049799217758218536,0.9858078602620087
23,0.06955657010725902,0.05230746526051227,0.9852620087336245
24,0.125047943411071,0.07922975449814815,0.9754366812227074
25,0.07614394826687994,0.07939093801943617,0.9798034934497817
26,0.11010793369445626,0.1239870034222459,0.9694323144104804
27,0.10399231437882206,0.09819698656378775,0.9694323144104804
28,0.09613088270315252,0.08435281507313605,0.9776200873362445
29,0.08148078841445765,0.042439241865489245,0.9874454148471615
30,0.09627517624302646,0.06869425977863008,0.9792576419213974
31,0.05855732125479414,0.05551954972837973,0.9836244541484717
32,0.07986785230371068,0.11212630860170285,0.9661572052401747
33,0.07250367734965908,0.04819709298568216,0.9852620087336245
34,0.08987779171135196,0.0666082581975106,0.9792576419213974
35,0.07442000407356081,0.05711229956520175,0.9847161572052402
36,0.055253973942751104,0.07545967643843675,0.9787117903930131
37,0.04438784749452126,0.048744621777461423,0.9885371179039302
38,0.05728159989613114,0.054648807414572544,0.9847161572052402
39,0.0619921553582611,0.06479682965048063,0.9798034934497817
