epoch,train_loss,val_loss,val_acc
1,3.29709182407545,3.293131104831038,0.04093886462882096
2,3.2947692394256594,3.278865390810473,0.04203056768558952
3,3.2293413846389107,3.231918141759675,0.060589519650655024
4,3.163598420308984,3.0993639682901315,0.08078602620087336
5,3.1564221465069315,3.133506256958534,0.07368995633187773
6,3.0937229768089627,3.070265025928103,0.09443231441048035
7,3.0530894569728684,3.029955000712954,0.09661572052401747
8,3.0037008731261543,3.050957334452662,0.0927947598253275
9,2.978515386581421,3.0168517992414277,0.10316593886462883
10,2.926195005748583,2.9581998668867966,0.0906113537117904
11,2.924230963250865,3.2270907163619995,0.09334061135371179
12,2.8893909329953402,3.1018682389423766,0.08788209606986899
13,2.8760801833608878,3.050767129865186,0.09879912663755458
14,2.863180424856103,3.013399157030829,0.08024017467248909
15,2.834597545084746,3.2071872004147233,0.08624454148471616
16,2.8291795958643373,3.1095234402294816,0.08897379912663755
17,2.8284787105477376,2.9836922308494307,0.10207423580786026
18,2.815664201197417,3.1092089948983026,0.09224890829694324
19,2.7960459595141205,2.884074770171067,0.12827510917030568
20,2.770543451153714,3.1525741240073897,0.0851528384279476
21,2.776674807589987,3.0653168045241257,0.10862445414847162
22,2.766569251599519,3.020306443345958,0.09879912663755458
23,2.748742950480917,3.119720154795153,0.07751091703056769
24,2.7560002907462744,3.0984646369671,0.0982532751091703
25,2.7393176514169446,3.549183331686875,0.06932314410480349
26,2.723736824160037,3.559427203803227,0.0665938864628821
27,2.7418702944465307,3.120156403245597,0.08351528384279476
28,2.7286183927370153,3.0622416693588783,0.10862445414847162
29,2.707197087744008,3.129165715184705,0.08733624454148471
