class,f1_mean,f1_std,n_seeds
0,0.40550300174575027,0.03743977568136022,5
1,0.410922059499257,0.1617484689515701,5
2,0.8147742716169738,0.056397775857939814,5
3,0.9777252047315741,0.03602692023570698,5
4,0.8792543443920431,0.051837843080959047,5
5,0.8002647795280687,0.12540663907787958,5
6,0.42913998570468237,0.09144110863896222,5
7,0.879791762157281,0.038884628321805684,5
8,0.960216591937548,0.037647994561925954,5
9,0.4819488709085321,0.1109723970032436,5
10,0.9387991081733075,0.03681284859311141,5
11,0.5081413208439857,0.14618772153738968,5
12,0.5352848710165865,0.05728045848828339,5
13,0.9621998452093962,0.033277995138925244,5
14,0.505920032639739,0.24967225349433037,5
15,0.7335566726017214,0.08919963871149061,5
16,0.9731988436619309,0.030717557867991487,5
17,0.47324727336381267,0.13839430018480953,5
18,0.7883841197753653,0.05484299260362751,5
19,0.6961396333506131,0.1373335476285863,5
20,0.4010390343158027,0.17304667897837955,5
21,0.45659036252122104,0.12141813967474917,5
22,0.4163236043732902,0.10838927069021358,5
23,0.7244823247264274,0.11065492079895459,5
24,0.321858072558617,0.1584107942568277,5
25,0.7691920794406253,0.032930069814563104,5
26,0.9409674243884771,0.048654024670577924,5
