epoch,train_loss,val_loss,val_acc
1,0.5980359030266603,0.28492870181798935,0.8941798941798942
2,0.30178636653969687,0.09810471821886797,0.9761904761904762
3,0.1687599717794607,0.12785046338103712,0.9656084656084656
4,0.2305532415242245,0.11679499751577775,0.9523809523809523
5,0.15475451313735297,0.06058300628016392,0.9788359788359788
6,0.13437523489119485,0.07911399790706734,0.9788359788359788
7,0.20965614674302438,0.07330884054924051,0.9761904761904762
8,0.13116940108981603,0.0413926086621359,0.9894179894179894
9,0.1757532514554138,0.05665178872489681,0.9841269841269841
10,0.13191044128810367,0.05520332387338082,0.9788359788359788
11,0.12318312892845522,0.05846212414326146,0.9841269841269841
12,0.10753190524216431,0.05396389666323861,0.9867724867724867
13,0.09010375301780489,0.03024501564990108,0.9894179894179894
14,0.03156686476722825,0.019620146757612627,0.9947089947089947
15,0.05421233284869231,0.03586618725482064,0.9894179894179894
16,0.10227616543124896,0.04309899128080966,0.9920634920634921
17,0.15476468391231415,0.0761478350420172,0.9735449735449735
18,0.08123981997778174,0.03958792423751826,0.9920634920634921
19,0.07295198004188326,0.04297315300694512,0.9894179894179894
20,0.051000464547541924,0.02856785080318029,0.9947089947089947
21,0.06646060972222283,0.035441082344429255,0.9920634920634921
22,0.14228232061335197,0.05556198056243981,0.9894179894179894
23,0.04408752370121268,0.024379894001564633,0.9947089947089947
24,0.09479294808503862,0.05290331202559173,0.9894179894179894
