class,f1_mean,f1_std
0,0.099686036788074,0.07823016320528359
1,0.19189159382557447,0.06040396321993884
2,0.01943068489531735,0.02678910286448259
3,0.10254061105811943,0.11714791557458455
4,0.010840738209159262,0.017493997251690326
5,0.08004028883613931,0.05439026854049712
6,0.09739230981307287,0.03499545015227194
7,0.06622210909589332,0.037796961691422035
8,0.15697286355181092,0.12659201013586624
9,0.07220207121301836,0.05386521544098359
10,0.05283748157319499,0.03341649262072341
11,0.01124631268436578,0.014523530742923485
12,0.006508563899868247,0.008002735258797043
13,0.017336849044166117,0.028403307385454497
14,0.04930593032319962,0.04680779555088089
15,0.007272727272727273,0.014545454545454545
16,0.03263157894736842,0.04106312656372713
17,0.03686518085495068,0.05695599193727272
18,0.09052210740521258,0.054509496917424544
19,0.17628594511958723,0.0996802475725632
20,0.10382798424903687,0.047521129379444554
21,0.006564102564102564,0.008353781618173226
22,0.026862676475056614,0.03165498482497635
23,0.009523809523809523,0.019047619047619046
24,0.014760638297872341,0.01842799170353192
25,0.08603683041994267,0.09147223596913584
26,0.010526315789473684,0.021052631578947368
