epoch,train_loss,val_loss,val_acc
1,3.298681000004644,3.297602891921997,0.027247956403269755
2,3.2931763983291127,3.265602464261262,0.05858310626702997
3,3.26801465516505,3.2429463085920913,0.04223433242506812
4,3.2357115395691083,3.2319105915401294,0.052452316076294275
5,3.217959664438082,3.2212380015331767,0.07084468664850137
6,3.212499262198158,3.2155063100483106,0.0653950953678474
7,3.146452838959901,3.203923743704091,0.06335149863760219
8,3.130009535862052,3.1339022439459097,0.07493188010899182
9,3.099417920993722,3.559835910797119,0.06471389645776567
10,3.0813269679960995,3.177489197772482,0.0776566757493188
11,3.072993831790012,3.358199575672979,0.06743869209809264
12,3.0605536258738972,3.2139213292495064,0.07561307901907358
13,3.0419429618379343,3.374830448109171,0.07152588555858311
14,3.035438077605289,3.142571428547735,0.08651226158038147
15,3.016694090936495,3.1649983084720112,0.08651226158038147
16,2.9983769175798995,3.3308850993280825,0.06607629427792916
17,2.9832232983215996,3.5608949868575386,0.07425068119891008
18,2.973762611980024,3.3238066331199976,0.07561307901907358
