class,f1_mean,f1_std,n_seeds
0,0.0,0.0,5
1,0.18403478375290536,0.12490758496263438,5
2,0.048126159554730985,0.06591672508628833,5
3,0.10746791381040852,0.11593440867323392,5
4,0.009318610288176677,0.012839723195865592,5
5,0.026030154302461073,0.04282787886457797,5
6,0.14340220423903435,0.021344287247594674,5
7,0.0,0.0,5
8,0.10596274361829745,0.06356604273688812,5
9,0.027248296771063517,0.02662204151309036,5
10,0.012244897959183673,0.02738042421428314,5
11,0.0,0.0,5
12,0.03003907873950279,0.04881789782961118,5
13,0.005063291139240506,0.011321863177214125,5
14,0.008465845464725643,0.011592606757308561,5
15,0.0,0.0,5
16,0.018366141668893964,0.023103007555493296,5
17,0.03114173961631589,0.04323157358888462,5
18,0.04306918238993711,0.08221343617832849,5
19,0.08593049057182428,0.03209518113761789,5
20,0.0,0.0,5
21,0.008127062706270626,0.011134411259494952,5
22,0.06549549549549549,0.09074737702980258,5
23,0.005,0.011180339887498949,5
24,0.03769949751360359,0.0723304909014402,5
25,0.0,0.0,5
26,0.0,0.0,5
