class,f1_mean,f1_std,n_seeds
0,0.38164743261517453,0.024366933081704355,5
1,0.6455798365597197,0.2104241662496504,5
2,0.8480922579835622,0.06323191216935513,5
3,0.9760629417237852,0.023374263482611717,5
4,0.9594709754268719,0.010131742062729262,5
5,0.9103459431991423,0.01174859390889665,5
6,0.2927795882278641,0.12778744298837436,5
7,0.8535706725654295,0.02934474952300158,5
8,0.9828939506407621,0.027334469667579776,5
9,0.6048524249156857,0.02159621907574573,5
10,0.8814522204350876,0.08061798703798648,5
11,0.5913816477385146,0.07017300078298495,5
12,0.5116188966087754,0.03527342172818079,5
13,0.918320841356836,0.050139580923374616,5
14,0.4996151606770679,0.08487701870857363,5
15,0.8434433725302941,0.08237565507341685,5
16,1.0,0.0,5
17,0.8378372112355889,0.07868011688306847,5
18,0.7038099298661054,0.045240496729273785,5
19,0.8093397463287794,0.07991607738494827,5
20,0.7374724366001175,0.04040975027005013,5
21,0.5481412740411973,0.12180962619084985,5
22,0.5437761524847715,0.11274329905493269,5
23,0.7252104673124156,0.05199794464999016,5
24,0.36401601934037675,0.16488594798082631,5
25,0.776969857218403,0.016047008189431968,5
26,0.9852454723325866,0.014939628672105201,5
