class,label,A_f1_mean,A_f1_std,B_f1_mean,B_f1_std,B_minus_A
0,standing,0.14207591293398095,0.08090772226362314,0.26435821631986567,0.01179916529286992,0.12228230338588472
1,walking,0.3917064493782001,0.06439351004479178,0.34220029220519066,0.03393057756365361,-0.049506157173009435
2,jumping,0.23763285543552276,0.22365563553385776,0.32226035851609947,0.03413088874310719,0.0846275030805767
3,sitting,0.5250177628742818,0.10121940912709726,0.3021846846711963,0.08229711393977196,-0.2228330782030855
4,lying,0.09803150409961556,0.15166584619500081,0.156774500384504,0.03646708589727197,0.05874299628488844
