class,f1_solo_mean,f1_solo_std,f1_imu_from_gmu_mean,f1_imu_from_gmu_std,delta
1,0.6112,0.0630,0.1343,0.0790,0.4769
4,0.9449,0.0483,0.8745,0.0110,0.0704
2,0.7981,0.0460,0.7610,0.0160,0.0371
3,1.0000,0.0000,0.9972,0.0063,0.0028
0,0.9286,0.0965,0.9473,0.1026,-0.0186
