class,label,is_posture,wifi_f1,imu_f1,gate,imu_sigma
0,standing,1,0.2727,0.9930,0.0000,0.0501
1,walking,0,0.1973,0.5437,0.0000,0.3911
2,jumping,0,0.3500,0.7914,0.0000,0.3573
3,sitting,1,0.3511,1.0000,0.0000,0.0359
4,lying,1,0.0990,0.9510,0.0000,0.2916
