seed,weighted_accuracy,macro_f1,n_samples
0,0.4777777777777778,0.43551091748383686,360
1,0.49166666666666664,0.4828593949509236,360
2,0.5638888888888889,0.5443435426869071,360
3,0.375,0.34373166554025514,360
4,0.4305555555555556,0.401918098826701,360
