epoch,gate_mean,gate_std,gate_entropy,gate_min,gate_max,n_samples
1,0.000043,0.001873,0.000240,0.000000,0.214904,16488
2,0.000001,0.000015,0.000010,0.000000,0.001136,16488
3,0.016725,0.023357,0.071986,0.000000,0.355488,16488
4,0.000000,0.000001,0.000000,0.000000,0.000070,16488
5,0.000000,0.000000,0.000000,0.000000,0.000020,16488
6,0.000001,0.000062,0.000005,0.000000,0.006550,16488
7,0.000132,0.005412,0.000338,0.000000,0.328800,16488
8,0.000000,0.000001,0.000000,0.000000,0.000151,16488
9,0.000000,0.000001,0.000000,0.000000,0.000144,16488
10,0.000000,0.000000,0.000000,0.000000,0.000001,16488
11,0.000000,0.000000,0.000000,0.000000,0.000001,16488
12,0.000000,0.000000,0.000000,0.000000,0.000000,16488
13,0.000000,0.000000,0.000000,0.000000,0.000000,16488
14,0.000000,0.000000,0.000000,0.000000,0.000000,16488
15,0.000000,0.000000,0.000000,0.000000,0.000017,16488
16,0.000000,0.000000,0.000000,0.000000,0.000000,16488
17,0.000000,0.000000,0.000000,0.000000,0.000000,16488
18,0.000000,0.000000,0.000000,0.000000,0.000000,16488
19,0.000000,0.000000,0.000000,0.000000,0.000000,16488
20,0.000000,0.000000,0.000000,0.000000,0.000000,16488
21,0.000000,0.000000,0.000000,0.000000,0.000000,16488
22,0.000000,0.000000,0.000000,0.000000,0.000000,16488
23,0.000000,0.000000,0.000000,0.000000,0.000000,16488
24,0.000000,0.000000,0.000000,0.000000,0.000000,16488
25,0.000000,0.000000,0.000000,0.000000,0.000000,16488
26,0.000000,0.000000,0.000000,0.000000,0.000000,16488
27,0.000000,0.000000,0.000000,0.000000,0.000000,16488
28,0.000000,0.000000,0.000000,0.000000,0.000000,16488
29,0.000000,0.000000,0.000000,0.000000,0.000000,16488
30,0.000000,0.000000,0.000000,0.000000,0.000000,16488
31,0.000000,0.000000,0.000000,0.000000,0.000000,16488
32,0.000000,0.000000,0.000000,0.000000,0.000000,16488
33,0.000000,0.000000,0.000000,0.000000,0.000000,16488
34,0.000000,0.000000,0.000000,0.000000,0.000000,16488
35,0.000000,0.000000,0.000000,0.000000,0.000000,16488
36,0.000000,0.000000,0.000000,0.000000,0.000000,16488
37,0.000000,0.000000,0.000000,0.000000,0.000000,16488
38,0.000000,0.000000,0.000000,0.000000,0.000000,16488
39,0.000000,0.000000,0.000000,0.000000,0.000000,16488
40,0.000000,0.000000,0.000000,0.000000,0.000000,16488
41,0.000000,0.000000,0.000000,0.000000,0.000000,16488
42,0.000000,0.000000,0.000000,0.000000,0.000000,16488
43,0.000000,0.000000,0.000000,0.000000,0.000000,16488
44,0.000000,0.000000,0.000000,0.000000,0.000000,16488
45,0.000000,0.000000,0.000000,0.000000,0.000000,16488
46,0.000000,0.000000,0.000000,0.000000,0.000000,16488
47,0.000000,0.000000,0.000000,0.000000,0.000000,16488
48,0.000000,0.000000,0.000000,0.000000,0.000000,16488
49,0.000000,0.000000,0.000000,0.000000,0.000000,16488
50,0.000000,0.000000,0.000000,0.000000,0.000000,16488
51,0.000000,0.000000,0.000000,0.000000,0.000000,16488
52,0.000000,0.000000,0.000000,0.000000,0.000000,16488
53,0.000000,0.000000,0.000000,0.000000,0.000000,16488
54,0.000000,0.000000,0.000000,0.000000,0.000000,16488
55,0.000000,0.000000,0.000000,0.000000,0.000000,16488
56,0.000000,0.000000,0.000000,0.000000,0.000000,16488
57,0.000000,0.000000,0.000000,0.000000,0.000000,16488
58,0.000000,0.000000,0.000000,0.000000,0.000000,16488
59,0.000000,0.000000,0.000000,0.000000,0.000000,16488
60,0.000000,0.000000,0.000000,0.000000,0.000000,16488
61,0.000000,0.000000,0.000000,0.000000,0.000000,16488
62,0.000000,0.000000,0.000000,0.000000,0.000000,16488
63,0.000000,0.000000,0.000000,0.000000,0.000000,16488
