class,f1_mean,f1_std
0,0.5104129348299021,0.0536290998231436
1,0.7579609966026277,0.03668916576964316
2,0.8927259570860091,0.021970686166586838
3,0.9041516370262697,0.058957031669415995
4,0.8408783445992748,0.0729996065160011
5,0.8829413786254342,0.04227153171428235
6,0.17640249602819533,0.1463277409618045
7,0.9812275110517117,0.02587310758066208
8,0.9854682422518988,0.015539774961544838
9,0.42830870070911303,0.05090895476546633
10,0.9455502406439947,0.04841815225578926
11,0.6045802485893064,0.07808367550191192
12,0.40912872179125737,0.06930037704552416
13,0.8332010984470417,0.08920103589404105
14,0.8810909030799683,0.04208992846567921
15,0.842162775671827,0.0653226059575593
16,0.7889041028448543,0.03133965646118197
17,0.5382362170914149,0.07583925056564589
18,0.8947824492761631,0.04672195043970345
19,0.5068852323120647,0.11071133356780843
20,0.6593301435406699,0.06602779945281843
21,0.4646309448115898,0.06248953939175049
22,0.14088757492885015,0.09416569730870392
23,0.8451257769026818,0.038813511148026655
24,0.26861446189653815,0.11776483264647956
25,0.8368484889302907,0.03071140498445996
26,0.9454004150954688,0.022848766797580456
