class,f1_mean,f1_std,n_seeds
0,0.3571671705273165,0.041226896487625356,5
1,0.5363824126860679,0.0860191836284081,5
2,0.8082995766775032,0.026057244013520588,5
3,0.9822941590429275,0.006042576378324558,5
4,0.9753785733352507,0.011295478119489125,5
5,0.9409300354641033,0.015620156867424127,5
6,0.5158783782622021,0.06314456621163134,5
7,0.8817734129978477,0.021168017147824618,5
8,0.9677489570107021,0.002920313701795483,5
9,0.7561026131737038,0.031519511891216385,5
10,0.779797865603132,0.044438318693905424,5
11,0.6594804820329468,0.030436887511182068,5
12,0.41183950343754816,0.09852481350142285,5
13,0.8576020435314777,0.022423519388647797,5
14,0.3233094958215596,0.05804843941373845,5
15,0.7213910323856952,0.09124804821717411,5
16,1.0,0.0,5
17,0.7645916529400457,0.05102729258348693,5
18,0.6130046557216369,0.06805897956934569,5
19,0.6677011643342599,0.029560465308243144,5
20,0.7392475208263141,0.04647885119952635,5
21,0.22248648385693598,0.07552939270784297,5
22,0.5400400168936754,0.026889666441261697,5
23,0.6523402940662825,0.021723193689200032,5
24,0.26170601990849673,0.12593060130564482,5
25,0.8483671519277033,0.06018498246838299,5
26,0.9795098677076556,0.035403729936988294,5
