epoch,gate_mean,gate_std,gate_entropy,gate_min,gate_max,n_samples
1,0.185581,0.138488,0.400730,0.000008,0.449280,16488
2,0.097017,0.123601,0.231946,0.000000,0.442216,16488
3,0.055238,0.073989,0.164498,0.000000,0.379927,16488
4,0.032339,0.049080,0.111170,0.000000,0.403992,16488
5,0.039821,0.066077,0.123814,0.000000,0.396990,16488
6,0.003661,0.010244,0.018203,0.000000,0.150264,16488
7,0.002130,0.006658,0.011460,0.000000,0.110269,16488
8,0.002675,0.012082,0.012150,0.000000,0.272564,16488
9,0.001059,0.007227,0.005039,0.000000,0.215610,16488
10,0.008893,0.030894,0.031904,0.000000,0.332482,16488
11,0.009128,0.038129,0.028412,0.000000,0.373717,16488
12,0.000600,0.002482,0.003751,0.000000,0.080194,16488
13,0.000001,0.000034,0.000004,0.000000,0.003963,16488
14,0.000001,0.000059,0.000005,0.000000,0.007285,16488
15,0.000000,0.000013,0.000002,0.000000,0.001591,16488
16,0.000000,0.000005,0.000001,0.000000,0.000576,16488
17,0.000000,0.000001,0.000000,0.000000,0.000061,16488
18,0.000006,0.000400,0.000028,0.000000,0.041896,16488
19,0.000005,0.000360,0.000024,0.000000,0.041484,16488
20,0.000004,0.000286,0.000021,0.000000,0.025256,16488
21,0.000004,0.000270,0.000020,0.000000,0.028190,16488
22,0.000006,0.000483,0.000028,0.000000,0.058066,16488
23,0.000002,0.000147,0.000011,0.000000,0.016331,16488
24,0.000006,0.000456,0.000027,0.000000,0.055492,16488
25,0.000018,0.001187,0.000064,0.000000,0.100621,16488
26,0.000069,0.002438,0.000248,0.000000,0.184497,16488
27,0.000118,0.003978,0.000379,0.000000,0.250002,16488
28,0.000000,0.000003,0.000000,0.000000,0.000296,16488
29,0.000000,0.000000,0.000000,0.000000,0.000005,16488
30,0.000000,0.000000,0.000000,0.000000,0.000000,16488
31,0.000000,0.000000,0.000000,0.000000,0.000000,16488
32,0.000000,0.000000,0.000000,0.000000,0.000000,16488
33,0.000000,0.000000,0.000000,0.000000,0.000000,16488
34,0.000000,0.000000,0.000000,0.000000,0.000000,16488
35,0.000000,0.000000,0.000000,0.000000,0.000000,16488
36,0.000000,0.000000,0.000000,0.000000,0.000000,16488
37,0.000000,0.000000,0.000000,0.000000,0.000000,16488
38,0.000000,0.000000,0.000000,0.000000,0.000000,16488
39,0.000000,0.000000,0.000000,0.000000,0.000000,16488
40,0.000000,0.000000,0.000000,0.000000,0.000000,16488
