seed,weighted_accuracy,macro_f1,n_samples
0,0.7159090909090909,0.7203794989194491,1936
1,0.637396694214876,0.6335853083731076,1936
2,0.7138429752066116,0.7109050434592468,1936
3,0.7102272727272727,0.702239737857439,1936
4,0.6838842975206612,0.6735258502767301,1936
