class,f1_mean,f1_std,n_seeds
0,0.4615311515835282,0.11332774561401916,5
1,0.4126838599720489,0.13782007555880482,5
2,0.7689954617357774,0.02174412668251302,5
3,0.9722627737226277,0.06202232346349784,5
4,0.8618879339225411,0.04970458244190928,5
5,0.8747570810072611,0.07510032298526004,5
6,0.3360096965380516,0.07751951504257389,5
7,0.9328040791705707,0.024254945195053314,5
8,0.9801006066154404,0.00939005840992621,5
9,0.45424126424390077,0.038831791157293426,5
10,0.880404113559764,0.08586316991065131,5
11,0.4617843783215593,0.15418265275146043,5
12,0.5217923865978786,0.021369797940897387,5
13,0.9851253252979044,0.014601215020246458,5
14,0.5173625497318128,0.25410454463680965,5
15,0.7803949588380441,0.06518763390322765,5
16,0.9381735031950236,0.04093250391555468,5
17,0.628879716964758,0.20433618958332045,5
18,0.7234663176143528,0.09353783810537798,5
19,0.7872584226140271,0.20649229129544816,5
20,0.6805738932048652,0.09020827043382873,5
21,0.3958177920962167,0.15224162007973363,5
22,0.49604967879468786,0.1196189987278177,5
23,0.7106867150401925,0.02362947871680886,5
24,0.33304225958342115,0.09372955218868567,5
25,0.7776429585646056,0.013826146536116779,5
26,0.9057024914533907,0.08226890225045719,5
