epoch,gate_mean,gate_std,gate_entropy,gate_min,gate_max,n_samples
1,0.243867,0.188066,0.432114,0.000000,0.484392,16488
2,0.159228,0.159204,0.323827,0.000000,0.478227,16488
3,0.000012,0.000074,0.000117,0.000000,0.003371,16488
4,0.000013,0.000087,0.000124,0.000000,0.004058,16488
5,0.000018,0.000116,0.000168,0.000000,0.005614,16488
6,0.000005,0.000039,0.000055,0.000000,0.002097,16488
7,0.000000,0.000002,0.000002,0.000000,0.000156,16488
8,0.000000,0.000000,0.000000,0.000000,0.000015,16488
9,0.000000,0.000000,0.000000,0.000000,0.000005,16488
10,0.000000,0.000000,0.000000,0.000000,0.000002,16488
11,0.000000,0.000000,0.000000,0.000000,0.000003,16488
12,0.000000,0.000000,0.000000,0.000000,0.000003,16488
13,0.000000,0.000000,0.000000,0.000000,0.000001,16488
14,0.000000,0.000000,0.000000,0.000000,0.000000,16488
15,0.000000,0.000000,0.000000,0.000000,0.000000,16488
16,0.000000,0.000000,0.000000,0.000000,0.000000,16488
17,0.000000,0.000000,0.000000,0.000000,0.000000,16488
18,0.000000,0.000000,0.000000,0.000000,0.000000,16488
19,0.000000,0.000000,0.000000,0.000000,0.000000,16488
20,0.000000,0.000000,0.000000,0.000000,0.000000,16488
21,0.000000,0.000000,0.000000,0.000000,0.000000,16488
22,0.000000,0.000000,0.000000,0.000000,0.000000,16488
23,0.000000,0.000000,0.000000,0.000000,0.000023,16488
24,0.000000,0.000000,0.000000,0.000000,0.000000,16488
25,0.000000,0.000000,0.000000,0.000000,0.000000,16488
26,0.000000,0.000000,0.000000,0.000000,0.000000,16488
27,0.000000,0.000000,0.000000,0.000000,0.000000,16488
28,0.000000,0.000000,0.000000,0.000000,0.000000,16488
29,0.000000,0.000000,0.000000,0.000000,0.000000,16488
30,0.000000,0.000000,0.000000,0.000000,0.000000,16488
31,0.000000,0.000000,0.000000,0.000000,0.000000,16488
32,0.000000,0.000000,0.000000,0.000000,0.000000,16488
33,0.000000,0.000000,0.000000,0.000000,0.000000,16488
34,0.000000,0.000000,0.000000,0.000000,0.000000,16488
35,0.000000,0.000000,0.000000,0.000000,0.000000,16488
36,0.000000,0.000000,0.000000,0.000000,0.000000,16488
37,0.000000,0.000000,0.000000,0.000000,0.000000,16488
38,0.000000,0.000000,0.000000,0.000000,0.000000,16488
39,0.000000,0.000000,0.000000,0.000000,0.000000,16488
40,0.000000,0.000000,0.000000,0.000000,0.000000,16488
41,0.000000,0.000000,0.000000,0.000000,0.000000,16488
42,0.000000,0.000000,0.000000,0.000000,0.000000,16488
43,0.000000,0.000000,0.000000,0.000000,0.000000,16488
44,0.000000,0.000000,0.000000,0.000000,0.000000,16488
45,0.000000,0.000000,0.000000,0.000000,0.000000,16488
46,0.000000,0.000000,0.000000,0.000000,0.000000,16488
47,0.000000,0.000000,0.000000,0.000000,0.000000,16488
48,0.000000,0.000000,0.000000,0.000000,0.000000,16488
49,0.000000,0.000000,0.000000,0.000000,0.000000,16488
50,0.000000,0.000000,0.000000,0.000000,0.000000,16488
51,0.000000,0.000000,0.000000,0.000000,0.000000,16488
52,0.000000,0.000000,0.000000,0.000000,0.000000,16488
53,0.000000,0.000000,0.000000,0.000000,0.000000,16488
54,0.000000,0.000000,0.000000,0.000000,0.000000,16488
55,0.000000,0.000000,0.000000,0.000000,0.000000,16488
56,0.000000,0.000000,0.000000,0.000000,0.000000,16488
